t vw vv vT
1.983600997924804688e+01 9.986891746520996094e-01 5.118491500616073608e-02 1.000000000000000000e+00
1.874092483520507812e+01 9.985701441764831543e-01 5.345802381634712219e-02 1.000000000000000000e+00
1.855572509765625000e+01 9.994851946830749512e-01 3.208322450518608093e-02 9.999999403953552246e-01
1.726521110534667969e+01 9.987102150917053223e-01 5.077245458960533142e-02 9.999999403953552246e-01
1.610994338989257812e+01 9.928238987922668457e-01 1.195854470133781433e-01 1.000000000000000000e+00
1.537873935699462891e+01 9.548776149749755859e-01 2.969996333122253418e-01 1.000000000000000000e+00
1.479894161224365234e+01 9.847315549850463867e-01 1.740793436765670776e-01 9.999998807907104492e-01
1.431027603149414062e+01 9.988567829132080078e-01 4.780305549502372742e-02 1.000000000000000000e+00
1.382530021667480469e+01 9.922888875007629395e-01 1.239463239908218384e-01 9.999999403953552246e-01
1.368839645385742188e+01 9.984748363494873047e-01 5.520772933959960938e-02 9.999999403953552246e-01
1.287202548980712891e+01 9.989710450172424316e-01 4.535167291760444641e-02 9.999999403953552246e-01
1.210628604888916016e+01 9.993730187416076660e-01 3.540680557489395142e-02 1.000000000000000000e+00
1.142133998870849609e+01 9.956641793251037598e-01 9.302057325839996338e-02 9.999999403953552246e-01
1.086354541778564453e+01 9.983454346656799316e-01 5.750183016061782837e-02 1.000000000000000000e+00
1.055980968475341797e+01 9.725056886672973633e-01 2.328790426254272461e-01 1.000000000000000000e+00
1.030114364624023438e+01 9.971915483474731445e-01 7.489370554685592651e-02 1.000000000000000000e+00
9.933399200439453125e+00 9.413539767265319824e-01 3.374205529689788818e-01 9.999999403953552246e-01
9.593349456787109375e+00 9.190412163734436035e-01 3.941614925861358643e-01 1.000000000000000000e+00
9.178484916687011719e+00 9.671686291694641113e-01 2.541354000568389893e-01 9.999999403953552246e-01
8.925520896911621094e+00 9.991921186447143555e-01 4.018881916999816895e-02 1.000000000000000000e+00
8.758852005004882812e+00 9.645217657089233398e-01 2.640033364295959473e-01 1.000000000000000000e+00
8.156201362609863281e+00 9.945392012596130371e-01 1.043634712696075439e-01 9.999999403953552246e-01
7.845674037933349609e+00 9.977118968963623047e-01 6.760805845260620117e-02 9.999999403953552246e-01
7.707479476928710938e+00 9.843080043792724609e-01 1.764589101076126099e-01 1.000000000000000000e+00
7.606229782104492188e+00 9.997008442878723145e-01 2.445738390088081360e-02 1.000000000000000000e+00
7.389387130737304688e+00 9.974671006202697754e-01 7.112926989793777466e-02 1.000000000000000000e+00
7.116756916046142578e+00 9.980151653289794922e-01 6.297381967306137085e-02 9.999999403953552246e-01
6.787148475646972656e+00 9.895041584968566895e-01 1.445041596889495850e-01 9.999999403953552246e-01
6.461915493011474609e+00 9.713913798332214355e-01 2.374843508005142212e-01 1.000000000000000000e+00
6.344772815704345703e+00 9.954237341880798340e-01 9.555925428867340088e-02 9.999999403953552246e-01
6.261706829071044922e+00 9.996511340141296387e-01 2.641154639422893524e-02 9.999999403953552246e-01
6.068254470825195312e+00 9.981362223625183105e-01 6.102576479315757751e-02 1.000000000000000000e+00
5.546144485473632812e+00 9.964689612388610840e-01 8.396213501691818237e-02 1.000000000000000000e+00
5.118614673614501953e+00 9.961023926734924316e-01 8.820392191410064697e-02 9.999999403953552246e-01
4.931621074676513672e+00 9.968841671943664551e-01 7.887940853834152222e-02 1.000000000000000000e+00
4.796032905578613281e+00 9.997430443763732910e-01 2.266609854996204376e-02 9.999999403953552246e-01
4.642929553985595703e+00 9.986771941184997559e-01 5.141780897974967957e-02 9.999999403953552246e-01
4.504654407501220703e+00 9.963009357452392578e-01 8.593273162841796875e-02 1.000000000000000000e+00
4.232307434082031250e+00 9.976102709770202637e-01 6.909190118312835693e-02 9.999999403953552246e-01
4.125145912170410156e+00 9.975400567054748535e-01 7.009851932525634766e-02 1.000000000000000000e+00
3.921897888183593750e+00 9.942171573638916016e-01 1.073882430791854858e-01 1.000000000000000000e+00
3.840067863464355469e+00 9.747562408447265625e-01 2.232717573642730713e-01 1.000000000000000000e+00
3.764084339141845703e+00 9.955825805664062500e-01 9.388971328735351562e-02 9.999999403953552246e-01
3.738199472427368164e+00 9.984484314918518066e-01 5.568379163742065430e-02 9.999999403953552246e-01
3.566899299621582031e+00 9.982984066009521484e-01 5.831193178892135620e-02 1.000000000000000000e+00
3.278759956359863281e+00 9.997672438621520996e-01 2.157453447580337524e-02 1.000000000000000000e+00
3.187437534332275391e+00 9.985582828521728516e-01 5.367864668369293213e-02 1.000000000000000000e+00
3.001771926879882812e+00 9.938971996307373047e-01 1.103099733591079712e-01 9.999999403953552246e-01
2.909543752670288086e+00 9.990351200103759766e-01 4.391773045063018799e-02 9.999999403953552246e-01
2.780852317810058594e+00 9.996840357780456543e-01 2.513522282242774963e-02 1.000000000000000000e+00
2.479506015777587891e+00 9.993243813514709473e-01 3.675184771418571472e-02 9.999999403953552246e-01
2.232165813446044922e+00 9.988192915916442871e-01 4.857932031154632568e-02 9.999999403953552246e-01
2.155088424682617188e+00 9.997983574867248535e-01 2.008113451302051544e-02 1.000000000000000000e+00
2.051842451095581055e+00 9.999316334724426270e-01 1.169121731072664261e-02 9.999999403953552246e-01
1.999606847763061523e+00 9.999137520790100098e-01 1.313251815736293793e-02 9.999999403953552246e-01
1.980718970298767090e+00 9.999209046363830566e-01 1.257341448217630386e-02 9.999999403953552246e-01
1.958098411560058594e+00 9.999033212661743164e-01 1.390329562127590179e-02 9.999999403953552246e-01
1.939430713653564453e+00 9.993051290512084961e-01 3.727231547236442566e-02 9.999999403953552246e-01
1.888656258583068848e+00 9.995032548904418945e-01 3.151562809944152832e-02 1.000000000000000000e+00
1.855568766593933105e+00 9.994469881057739258e-01 3.325182944536209106e-02 9.999999403953552246e-01
1.803576111793518066e+00 9.995329380035400391e-01 3.056107275187969208e-02 1.000000000000000000e+00
1.795245885848999023e+00 9.999231100082397461e-01 1.239646878093481064e-02 9.999999403953552246e-01
1.766628146171569824e+00 9.998885989189147949e-01 1.492775976657867432e-02 1.000000000000000000e+00
1.754182696342468262e+00 9.998828172683715820e-01 1.530422735959291458e-02 9.999999403953552246e-01
1.709127545356750488e+00 9.999074339866638184e-01 1.360056269913911819e-02 9.999998807907104492e-01
1.666480422019958496e+00 9.999191164970397949e-01 1.271662022918462753e-02 9.999999403953552246e-01
1.661653518676757812e+00 9.998140931129455566e-01 1.928035542368888855e-02 1.000000000000000000e+00
1.625534892082214355e+00 9.997843503952026367e-01 2.076843939721584320e-02 1.000000000000000000e+00
1.612482786178588867e+00 9.999238252639770508e-01 1.234184857457876205e-02 1.000000000000000000e+00
1.564501166343688965e+00 9.997510910034179688e-01 2.230843529105186462e-02 9.999999403953552246e-01
1.542596817016601562e+00 9.996799230575561523e-01 2.529954724013805389e-02 1.000000000000000000e+00
1.514458060264587402e+00 9.997985363006591797e-01 2.007151581346988678e-02 1.000000000000000000e+00
1.501997590065002441e+00 9.991304874420166016e-01 4.169074445962905884e-02 9.999999403953552246e-01
1.483698606491088867e+00 9.999228715896606445e-01 1.241741701960563660e-02 9.999999403953552246e-01
1.454623818397521973e+00 9.999015927314758301e-01 1.402790565043687820e-02 9.999999403953552246e-01
1.449297308921813965e+00 9.998215436935424805e-01 1.889265328645706177e-02 1.000000000000000000e+00
1.422354459762573242e+00 9.998065829277038574e-01 1.966599002480506897e-02 1.000000000000000000e+00
1.398803353309631348e+00 9.996267557144165039e-01 2.731779776513576508e-02 9.999999403953552246e-01
1.366967439651489258e+00 9.989857673645019531e-01 4.502537101507186890e-02 9.999998807907104492e-01
1.353536725044250488e+00 9.998706579208374023e-01 1.608062535524368286e-02 9.999999403953552246e-01
1.342625617980957031e+00 9.997491240501403809e-01 2.239734865725040436e-02 9.999999403953552246e-01
1.328884601593017578e+00 9.998551011085510254e-01 1.702226698398590088e-02 9.999999403953552246e-01
1.307884335517883301e+00 9.998679757118225098e-01 1.624931953847408295e-02 1.000000000000000000e+00
1.290376901626586914e+00 9.999315738677978516e-01 1.170027814805507660e-02 1.000000000000000000e+00
1.255146026611328125e+00 9.998860359191894531e-01 1.509107183665037155e-02 9.999998807907104492e-01
1.251542091369628906e+00 9.998774528503417969e-01 1.565455831587314606e-02 1.000000000000000000e+00
1.238710761070251465e+00 9.998055696487426758e-01 1.971802301704883575e-02 1.000000000000000000e+00
1.229123115539550781e+00 9.998757243156433105e-01 1.576362922787666321e-02 9.999999403953552246e-01
1.211384654045104980e+00 9.994946122169494629e-01 3.178730607032775879e-02 9.999999403953552246e-01
1.189048886299133301e+00 9.997043013572692871e-01 2.431573346257209778e-02 9.999999403953552246e-01
1.174718618392944336e+00 9.998630881309509277e-01 1.654567196965217590e-02 9.999999403953552246e-01
1.150307059288024902e+00 9.996792078018188477e-01 2.532708272337913513e-02 1.000000000000000000e+00
1.138986825942993164e+00 9.992551803588867188e-01 3.858745098114013672e-02 9.999999403953552246e-01
1.109770178794860840e+00 9.998248815536499023e-01 1.871221140027046204e-02 9.999999403953552246e-01
1.087008714675903320e+00 9.998434185981750488e-01 1.769666187465190887e-02 1.000000000000000000e+00
1.070891976356506348e+00 9.998667836189270020e-01 1.632120460271835327e-02 9.999999403953552246e-01
1.023911833763122559e+00 9.998974204063415527e-01 1.432134024798870087e-02 9.999999403953552246e-01
1.005157351493835449e+00 9.998676776885986328e-01 1.626596227288246155e-02 9.999999403953552246e-01
9.822408556938171387e-01 9.989972710609436035e-01 4.477167874574661255e-02 1.000000000000000000e+00
9.150617122650146484e-01 9.998775720596313477e-01 1.564521715044975281e-02 9.999999403953552246e-01
